Month,Revolving consumer credit owned and securitized,Consumer revolving credit owned by depository institutions,Consumer revolving credit owned by finance companies,Consumer revolving credit owned by credit unions,Consumer revolving credit owned by nonfinancial business
1985-01,105707,65085,295,1021,39306
1985-02,105181,66088,510,1059,37524
1985-03,106692,67905,725,1107,36955
1985-04,108796,69689,940,1156,37011
1985-05,109620,69884,1155,1207,37374
1985-06,111191,71085,1370,1258,37478
1985-07,112714,72371,1585,1309,37449
1985-08,115005,73935,1800,1362,37908
1985-09,117523,76497,2015,1411,37600
1985-10,119200,77801,2230,1448,37721
1985-11,122687,80173,2445,1501,38568
1985-12,131553,85117,2660,1554,42222
1986-01,130347,85493,2875,1704,40275
1986-02,128606,85415,3090,1858,38243
1986-03,128649,85652,3305,2024,37668
1986-04,130621,87599,3520,2198,37304
1986-05,131871,88310,3735,2370,37456
1986-06,133079,89203,3950,2552,37374
1986-07,134042,89921,4165,2736,37220
1986-08,135736,90951,4380,2938,37467
1986-09,136261,91388,4595,3136,37142
1986-10,137702,92586,4810,3155,37151
1986-11,140269,93992,5025,3510,37742
1986-12,148902,98409,5240,3717,41536
1987-01,144482,95588,5455,3704,39735
1987-02,142260,94768,5670,3763,38059
1987-03,141334,93972,5885,3846,37631
1987-04,143903,95994,6100,3950,37859
1987-05,145472,96764,6315,4051,38342
1987-06,148421,99214,6530,4200,38477
1987-07,150670,101064,6745,4262,38599
1987-08,152773,102318,6960,4328,39167
1987-09,155365,104629,7175,4377,39184
1987-10,156743,105330,7390,4399,39624
1987-11,158497,105772,7605,4414,40706
1987-12,169639,112432,7820,4435,44952
1988-01,168334,112829,8035,4423,43047
1988-02,165722,111796,8250,4407,41269
1988-03,165379,111648,8465,4427,40839
1988-04,167184,113189,8680,4449,40866
1988-05,168606,114214,8895,4481,41016
1988-06,171371,116530,9110,4529,41202
1988-07,172163,117068,9325,4568,41202
1988-08,174794,118999,9540,4658,41597
1988-09,176366,120683,9755,4702,41226
1988-10,178431,121977,9970,4739,41745
1988-11,183671,125845,10185,4766,42875
1988-12,194459.9,131764,10400,4788.9,47507
1989-01,189610,122809,10615,4706,40707
1989-02,187301,121309,10830,4704,38728
1989-03,188471,120495,11045,4727,37880
1989-04,190797,122623,11260,4770,37975
1989-05,192720,123312,11475,4803,38507
1989-06,195893,123682,11690,4836,38513
1989-07,197418,124229,11905,4880,38619
1989-08,200795,125996,12120,4964,39238
1989-09,202075,127169,12335,5007,38683
1989-10,203516,127994,12550,5036,38415
1989-11,208416,129983,12765,5047,39285
1989-12,222295,138098,12980,5072,43518
1990-01,217901,135518,13195,5050,41288
1990-02,216062,132047,13410,5022,39379
1990-03,214920,129137,13625,5002,39193
1990-04,217045,131131,13840,5015,38886
1990-05,220506,132439,14055,5030,39138
1990-06,223520,129344,14270,5041,39454
1990-07,227119,132149,14485,5074,39239
1990-08,231241,133553,14700,5128,40170
1990-09,233653,134216,14915,5132,39773
1990-10,234734,134387,15130,5151,39161
1990-11,240221,137012,15345,5145,40201
1990-12,250909,140665,15560,5151,44915
1991-01,243370,134944,15775,5268,42162
1991-02,241818,135733,15990,5392,39738
1991-03,243907,135671,16205,5537,38754
1991-04,245646,137072,16420,5728,38338
1991-05,247851,137140,16635,5903,37234
1991-06,249675,135276,16850,6102,36835
1991-07,250928,136167,17065,6260,36684
1991-08,254609,137600,17280,6507,37625
1991-09,257752,137668,17495,6717,36743
1991-10,259964,139853,17710,6871,36678
1991-11,263903,139040,17925,7039,38006
1991-12,277089,146479,18140,7371,41658
1992-01,270420,142205,18355,7504,38930
1992-02,265961,138782,18570,7665,37114
1992-03,263739,136189,18785,7871,36442
1992-04,264524,136149,19000,7993,36870
1992-05,265514,135699,19215,8188,37317
1992-06,267816,135596,19430,8329,37481
1992-07,267740,135503,19645,8508,37561
1992-08,270598,135038,19860,8700,38439
1992-09,272158,134931,20075,8855,38602
1992-10,274000,135497,20290,9141,39943
1992-11,276754,136723,20505,9517,40216
1992-12,292258,142695,20720,9768,44466
1993-01,286162,139917,20935,9547,41961
1993-02,283050,138477,21150,9518,40046
1993-03,281767,138928,21365,9344,39444
1993-04,283450,140766,21580,9609,39819
1993-05,285078,142457,21795,9736,40300
1993-06,286864,141879,22010,9904,40538
1993-07,290805,146088,22225,10037,40980
1993-08,294564,147158,22440,10307,41810
1993-09,298288,148286,22655,10458,42308
1993-10,300503,148972,22870,10747,43072
1993-11,308136,153905,23085,11069,44865
1993-12,325011,160344,23300,11490,50125
1994-01,318080,156254,23515,11111,47879
1994-02,314994,154624,23730,10902,46252
1994-03,316400,155823,23945,10827,46136
1994-04,321044,159570,24160,10881,46592
1994-05,325383,160459,24375,11126,47233
1994-06,331247,163703,24590,11313,47351
1994-07,335941,167482,24805,11579,47870
1994-08,345615,171835,25020,12023,48607
1994-09,348625,175139,25235,12290,48199
1994-10,351518,173718,25450,12581,48308
1994-11,364545,181337,25665,12860,50577
1994-12,383187,191185,25880,13202,56790
1995-01,378400,187846,26095,13071,53840
1995-02,377779,188181,26310,12978,52007
1995-03,381573,188153,26525,12969,51604
1995-04,385053,189431,26740,13166,50938
1995-05,393782,193387,26955,13400,51673
1995-06,401754,194890,27170,13475,52102
1995-07,404268,195109,27385,13648,51673
1995-08,415101,203289,27600,14041,49830
1995-09,427090,202811,27815,14069,49572
1995-10,431995,203998,28030,14234,49998
1995-11,439087.11,205792.11,28245,14580,48536
1995-12,464947.47,219106.91,28460,15473,53525
1996-01,455580.68,208994.79,28675,15223,50520
